SED_CODE24,SED_NAME24,margin
30001,Algester,6.51
30002,Aspley,1.09
30003,Bancroft,-4.97
30004,Barron River,-2.59
30005,Bonney,-4.86
30006,Broadwater,-18.13
30007,Buderim,-9.57
30008,Bulimba,6.21
30009,Bundaberg,-7.33
30010,Bundamba,13.98
30011,Burdekin,-13.91
30012,Burleigh,-7.52
30013,Burnett,-12.27
30014,Cairns,-0.92
30015,Callide,-16.44
30016,Caloundra,-9.84
30017,Capalaba,-2.59
30018,Chatsworth,-4.65
30019,Clayfield,-3.34
30020,Condamine,-22.48
30021,Cook,-8.28
30022,Coomera,-9.29
30023,Cooper,6.61
30024,Currumbin,-7.42
30025,Everton,-2.39
30026,Ferny Grove,5.85
30027,Gaven,-9.02
30028,Gladstone,11.17
30029,Glass House,-8.83
30030,Greenslopes,10.48
30031,Gregory,-13.48
30032,Gympie,-14.47
30033,Hervey Bay,-10.14
30034,Hill,-11.28
30035,Hinchinbrook,-16.94
30036,Inala,17.18
30037,Ipswich,9.9
30038,Ipswich West,3.85
30039,Jordan,5.6
30040,Kawana,-9.11
30041,Keppel,-6.96
30042,Kurwongbah,-2.22
30043,Lockyer,-10.66
30044,Logan,-3.35
30045,Lytton,-0.62
30046,Macalister,-3.95
30047,Mackay,-5.33
30048,Maiwar,5.87
30049,Mansfield,-3.11
30050,Maroochydore,-9.11
30051,Maryborough,-11.58
30052,McConnel,11.61
30053,Mermaid Beach,-12.3
30054,Miller,10.28
30055,Mirani,-11.7
30056,Moggill,-4.52
30057,Morayfield,1.07
30058,Mount Ommaney,7.83
30059,Mudgeeraba,-12.88
30060,Mulgrave,-2.88
30061,Mundingburra,-10.27
30062,Murrumba,-1.37
30063,Nanango,-15.46
30064,Nicklin,-8.47
30065,Ninderry,-8.21
30066,Noosa,-6.14
30067,Nudgee,12.94
30068,Oodgeroo,-9.01
30069,Pine Rivers,-1.2
30070,Pumicestone,-6.42
30071,Redcliffe,-5.57
30072,Redlands,-6.16
30073,Rockhampton,0.54
30074,Sandgate,5.33
30075,Scenic Rim,-13.89
30076,South Brisbane,18.11
30077,Southern Downs,-21.47
30078,Southport,-9.72
30079,Springwood,-1.38
30080,Stafford,7.28
30081,Stretton,8.1
30082,Surfers Paradise,-18.34
30083,Theodore,-9.04
30084,Thuringowa,-13.25
30085,Toohey,6.88
30086,Toowoomba North,-10.67
30087,Toowoomba South,-10.43
30088,Townsville,-8.48
30089,Traeger,-10.04
30090,Warrego,-24.54
30091,Waterford,4.81
30092,Whitsunday,-12.0
30093,Woodridge,14.89
39494,No usual address (Qld),
39797,Migratory - Offshore - Shipping (Qld),
